model,case,group,n,nmse,nmse_db,median_db,energy_weighted_db
W,csi_8,far_normal,1296,0.1533253937959671,-8.143859112111794,-9.022837149329927,-8.056024590716477
Hold,csi_8,far_normal,1296,0.08742774866205826,-10.583507049152077,-15.552157976286301,-10.402151251288794
Linear,csi_8,far_normal,1296,15.5145383076165,11.907388560762964,-7.526696314199062,11.558525309408845
W,csi_8,far_occlusion,2580,22.227785110473633,13.468961895445709,-0.823492350497556,-0.04425022954081343
Hold,csi_8,far_occlusion,2580,116.94629541029104,20.67986468912586,-1.7707620074248926,0.0043909340122452204
Linear,csi_8,far_occlusion,2580,39961.977641574296,46.01646972486137,3.542905857798149,8.048613899496342
W,csi_8,near_maneuver,1296,0.15604963898658752,-8.067372317170996,-8.724919240471198,-7.923133889144611
Hold,csi_8,near_maneuver,1296,0.15538535128364928,-8.085899260534173,-10.270539498186677,-7.853311966558939
Linear,csi_8,near_maneuver,1296,9.436666706535913,9.74818616480304,-7.245953513061803,9.74409368698325
W,csi_8,near_normal,1296,0.3142554461956024,-5.027171870478856,-5.432119208177547,-4.945695019282464
Hold,csi_8,near_normal,1296,0.36890447834298146,-4.330860725914682,-5.675526724334814,-4.262413662591697
Linear,csi_8,near_normal,1296,86.55545555165388,19.372944464610832,0.9518370173238971,19.439519526629
W,csi_8,near_occlusion,2592,0.8037932515144348,-0.9485564437730748,-4.854573637671138,-2.7975103685550313
Hold,csi_8,near_occlusion,2592,2.409241488148057,3.818803332959134,-6.094143329162302,-2.142090121066953
Linear,csi_8,near_occlusion,2592,357.2997709245091,25.530327377634432,-0.15955108567558673,15.849034776949779
W,csi_8,los,8656,0.25370660424232483,-5.956682275016922,-8.276727149552391,-0.36247055960403846
Hold,csi_8,los,8656,0.26357163539756506,-5.79101328725735,-12.064893005305475,-0.3716024447998916
Linear,csi_8,los,8656,38.22389366455745,15.823349242392016,-5.275405237870645,7.705412003345985
W,csi_8,nlos,1700,34.21965026855469,15.342755666541464,0.1674011559239581,0.13730490216003977
Hold,csi_8,nlos,1700,180.2973273511505,22.559892889783622,3.009184487822512,0.961694467743037
Linear,csi_8,nlos,1700,61097.288568206044,47.86021937149343,12.41958827315463,17.357460795733324
W,csi_8,switch_window,1616,34.97970962524414,15.438161999774898,-0.29086074363024195,-0.03782757141016419
Hold,csi_8,switch_window,1616,161.23280757357247,22.07453416491812,-0.08198669637405936,-0.03949149629677614
Linear,csi_8,switch_window,1616,2557.5475580573398,34.07823718243372,3.765663949108916,4.9819532401905695
W,default,all,10356,5.660853862762451,7.528819435411794,-7.232110566048585,-0.3494150502455168
Hold,default,all,10356,29.817201063317043,14.74466873865226,-9.804484700105455,-0.3045425615352867
Linear,default,all,10356,10456.620016558683,40.19391326464885,-0.12068527308531721,11.876695315513759
W,default,near,5184,0.46889355778694153,-3.289257340702833,-6.639794308796332,-4.000538089941697
Hold,default,near,5184,1.335693201770582,1.257067155653486,-7.275039286059854,-3.3918073408007943
Linear,default,near,5184,382.58239600365,25.82724982695025,0.6942229925947397,18.455747539765383
